obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759697809.15,9,3.06729006767,empty,empty,3759700473.78,3759700475.44,3759697804.0,3759697809.15,port_timestamp,1.47200000286,8.47609996796,28.7234903481,1022.29363352,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759708609.25,9,3.06626009941,empty,empty,3759721489.75,3759721489.82,3759708604.0,3759708609.25,port_timestamp,1.45399999619,8.02460002899,29.0839062326,1022.63837305,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759719408.14,9,3.02062988281,empty,empty,3759721489.75,3759721489.82,3759719403.0,3759719408.14,port_timestamp,1.44200003147,7.66160011292,28.9050232089,1022.54660232,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759730209.36,9,3.00777006149,empty,empty,3759765603.56,3759765603.57,3759730204.0,3759730209.36,port_timestamp,1.44799995422,7.50899982452,28.8956559437,1022.55923517,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759741008.91,9,3.00961995125,empty,empty,3759765603.56,3759765603.57,3759741004.0,3759741008.91,port_timestamp,1.4620000124,7.46750020981,28.9498512903,1022.60724654,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759751808.12,9,2.99154996872,empty,empty,3759765603.56,3759765603.57,3759751803.0,3759751808.12,port_timestamp,1.49500000477,7.89459991455,28.4075716502,1022.1257069,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759762609.28,9,2.96889996529,empty,empty,3759765603.56,3759765603.58,3759762604.0,3759762609.28,port_timestamp,1.49399995804,7.9064002037,28.1607537065,1021.93057817,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759773411.02,9,2.97413992882,empty,empty,3759786587.81,3759786587.83,3759773406.0,3759773411.02,port_timestamp,1.48899996281,8.03250026703,28.1141655204,1021.87722175,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759784211.11,9,2.98640990257,empty,empty,3759786595.28,3759786595.57,3759784206.0,3759784211.11,port_timestamp,1.49100005627,8.07890033722,28.2048571758,1021.94208312,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759795009.47,9,3.00049996376,empty,empty,3759807601.24,3759807601.63,3759795004.0,3759795009.47,port_timestamp,1.48599994183,8.00909996033,28.408315432,1022.11093487,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759805809.47,9,2.95942997932,empty,empty,3759807601.24,3759807601.63,3759805804.0,3759805809.47,port_timestamp,1.48199999332,7.92549991608,28.0463285951,1021.83826619,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759816608.72,9,2.96477007866,empty,empty,3759830699.49,3759830699.5,3759816603.0,3759816608.72,port_timestamp,1.47699999809,7.91489982605,28.110701126,1021.89012407,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759827409.26,9,2.96532988548,empty,empty,3759830699.49,3759830699.5,3759827404.0,3759827409.26,port_timestamp,1.47500002384,7.90159988403,28.127254065,1021.90485784,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759838209.53,9,2.97423005104,empty,empty,3759851709.14,3759851709.19,3759838204.0,3759838209.53,port_timestamp,1.47699999809,7.95809984207,28.1748988929,1021.93471818,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759849009.09,9,2.95384001732,empty,empty,3759851709.14,3759851709.19,3759849004.0,3759849009.09,port_timestamp,1.47699999809,7.77899980545,28.1054722722,1021.90393922,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759859807.85,9,2.98497009277,empty,empty,3759872705.97,3759872706.0,3759859803.0,3759859807.85,port_timestamp,1.47599995136,7.97419977188,28.2742109817,1022.01042896,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
