obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758315406.47,9,3.43698000908,empty,empty,3758339334.57,3758339334.86,3758315407.0,3758315406.47,port_timestamp,28.8020000458,10.6491003036,30.655519481,1023.58986613,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3758322606.4,9,3.43722009659,empty,empty,3758339334.57,3758339334.86,3758322606.0,3758322606.4,port_timestamp,27.9890003204,10.6468000412,30.6601544726,1023.59018743,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3758329804.89,9,3.43825006485,empty,empty,3758339334.57,3758339334.86,3758329805.0,3758329804.89,port_timestamp,28.1749992371,10.6526002884,30.6654023784,1023.5941336,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3758337004.97,9,3.4384200573,empty,empty,3758339334.57,3758339334.86,3758337005.0,3758337004.97,port_timestamp,29.6340007782,10.6491003036,30.6694295369,1023.60445105,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3758344207.99,9,3.43871998787,empty,empty,3758383463.76,3758383463.79,3758344208.0,3758344207.99,port_timestamp,31.1100006104,10.6490001678,30.6718797658,1023.61306858,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3758351407.08,9,3.43833994865,empty,empty,3758383463.76,3758383463.8,3758351407.0,3758351407.08,port_timestamp,30.1000003815,10.6419000626,30.6744915172,1023.61171312,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3758358605.12,9,3.43806004524,empty,empty,3758383463.76,3758383463.8,3758358605.0,3758358605.12,port_timestamp,29.3169994354,10.6349000931,30.6779167345,1023.61201886,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3758365805.98,9,3.43876004219,empty,empty,3758383463.76,3758383463.8,3758365806.0,3758365805.98,port_timestamp,29.0,10.6380996704,30.6822875162,1023.61344853,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3758373006.18,9,3.43939995766,empty,empty,3758383463.76,3758383463.8,3758373006.0,3758373006.18,port_timestamp,29.3250007629,10.6401996613,30.6867270397,1023.61801808,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3758380206.25,9,3.43863010406,empty,empty,3758383463.76,3758383463.8,3758380206.0,3758380206.25,port_timestamp,30.8330001831,10.6259002686,30.6905012495,1023.63019918,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
