obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3760216207.61,9,2.90902996063,empty,empty,3760219298.04,3760219299.38,3760216201.0,3760216207.61,port_timestamp,7.21299982071,8.03100013733,27.4348263638,1021.37130509,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
1,3760227007.6,9,2.90595006943,empty,empty,3760391530.51,3760391530.53,3760227001.0,3760227007.6,port_timestamp,7.33400011063,7.97399997711,27.4473674679,1021.38922076,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
2,3760237807.6,9,2.90416002274,empty,empty,3760391530.51,3760391530.53,3760237801.0,3760237807.6,port_timestamp,7.35900020599,7.93440008163,27.4597553575,1021.40425703,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
3,3760248607.6,9,2.90420007706,empty,empty,3760391530.51,3760391530.53,3760248601.0,3760248607.6,port_timestamp,7.34600019455,7.95389986038,27.444884398,1021.38997656,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
4,3760259407.6,9,2.88876008987,empty,empty,3760391530.51,3760391530.53,3760259401.0,3760259407.6,port_timestamp,7.31500005722,7.74429988861,27.448182233,1021.41974704,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
5,3760270207.68,9,2.89194989204,empty,empty,3760391530.51,3760391530.53,3760270201.0,3760270207.68,port_timestamp,7.32999992371,7.77570009232,27.4568794339,1021.42257501,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
6,3760281007.62,9,2.89036011696,empty,empty,3760391530.51,3760391530.53,3760281001.0,3760281007.62,port_timestamp,7.3220000267,7.74560022354,27.4639193183,1021.43195476,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
7,3760291807.57,9,2.88784003258,empty,empty,3760391530.51,3760391530.53,3760291801.0,3760291807.57,port_timestamp,7.44299983978,7.71280002594,27.4632855809,1021.43624813,29,13,29,13,29,13,29,5,29,13,47.13475,-124.27115
