obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758661009.92,9,2.9994699955,empty,empty,3758662835.98,3758662838.16,3758661004.0,3758661009.92,port_timestamp,1.42100000381,7.56379985809,28.7622424321,1022.44722529,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3758668208.2,9,3.00134992599,empty,empty,3758727951.76,3758727951.78,3758668203.0,3758668208.2,port_timestamp,1.39600002766,7.56290006638,28.7829042688,1022.46344979,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3758675409.67,9,2.99604010582,empty,empty,3758727951.76,3758727951.78,3758675404.0,3758675409.67,port_timestamp,1.39600002766,7.50309991837,28.7761599488,1022.46592252,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3758682608.44,9,2.99669003487,empty,empty,3758727951.76,3758727951.78,3758682603.0,3758682608.44,port_timestamp,1.38900005817,7.49219989777,28.7920887633,1022.47981091,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3758689809.83,9,2.98251008987,empty,empty,3758727951.76,3758727951.78,3758689804.0,3758689809.83,port_timestamp,1.38300001621,7.46589994431,28.6634192829,1022.38213216,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758697010.68,9,2.97798991203,empty,empty,3758727951.76,3758727951.78,3758697005.0,3758697010.68,port_timestamp,1.3710000515,7.42490005493,28.6493029708,1022.37626288,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758704208.38,9,2.99505996704,empty,empty,3758727951.76,3758727951.78,3758704203.0,3758704208.38,port_timestamp,1.35899996758,7.45149993896,28.8085639882,1022.49787287,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758711410.08,9,2.99573993683,empty,empty,3758727951.76,3758727951.78,3758711405.0,3758711410.08,port_timestamp,1.36000001431,7.41909980774,28.8427067972,1022.52887194,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758718609.89,9,2.98632001877,empty,empty,3758727951.76,3758727951.78,3758718604.0,3758718609.89,port_timestamp,1.36800003052,7.35949993134,28.7920429098,1022.49675914,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758725810.08,9,2.99981999397,empty,empty,3758727951.76,3758727951.78,3758725805.0,3758725810.08,port_timestamp,1.3789999485,7.44799995422,28.8620228389,1022.54040477,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
10,3758733010.76,9,3.01006007195,empty,empty,3758748931.04,3758748931.06,3758733005.0,3758733010.76,port_timestamp,1.38999998569,7.4970998764,28.9298851257,1022.58739466,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
11,3758740208.45,9,3.02080988884,empty,empty,3758748931.04,3758748931.06,3758740203.0,3758740208.45,port_timestamp,1.39300000668,7.5342001915,29.0130049152,1022.6478523,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
12,3758747409.1,9,2.99869990349,empty,empty,3758748936.5,3758748940.34,3758747404.0,3758747409.1,port_timestamp,1.38499999046,7.40080022812,28.8894040612,1022.56802468,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
13,3758754611.22,9,2.98615002632,empty,empty,3758793061.24,3758793061.35,3758754604.0,3758754611.22,port_timestamp,1.38699996471,7.38530015945,28.7688011514,1022.47528328,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
14,3758761808.22,9,2.98773002625,empty,empty,3758793061.24,3758793061.35,3758761803.0,3758761808.22,port_timestamp,1.39300000668,7.34999990463,28.8149390945,1022.51607813,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
15,3758769010.55,9,2.97870993614,empty,empty,3758793061.24,3758793061.35,3758769005.0,3758769010.55,port_timestamp,1.39699995518,7.23210000992,28.8169036712,1022.53264196,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
16,3758776210.0,9,3.01075005531,empty,empty,3758793061.24,3758793061.35,3758776205.0,3758776210.0,port_timestamp,1.39600002766,7.30539989471,29.0976290244,1022.74392538,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
17,3758783409.52,9,3.09962010384,empty,empty,3758793061.24,3758793061.35,3758783404.0,3758783409.52,port_timestamp,1.42999994755,7.82800006866,29.599764295,1023.06957175,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
18,3758790610.06,9,3.12029004097,empty,empty,3758793061.24,3758793061.35,3758790605.0,3758790610.06,port_timestamp,1.43799996376,7.97639989853,29.6917448528,1023.12155963,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
19,3758797809.22,9,3.12428998947,empty,empty,3758835075.97,3758835075.98,3758797804.0,3758797809.22,port_timestamp,1.43700003624,8.0216999054,29.6953883764,1023.11818975,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
20,3758805008.59,9,3.08344006538,empty,empty,3758835075.97,3758835075.98,3758805003.0,3758805008.59,port_timestamp,1.41499996185,7.63059997559,29.5961601616,1023.09314886,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
21,3758812209.2,9,3.0762898922,empty,empty,3758835075.97,3758835075.98,3758812204.0,3758812209.2,port_timestamp,1.41900002956,7.60489988327,29.5421283789,1023.05415557,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
22,3758819408.02,9,3.09047007561,empty,empty,3758835075.97,3758835075.98,3758819403.0,3758819408.02,port_timestamp,1.41799998283,7.73500013351,29.5819505283,1023.06806264,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
23,3758826610.5,9,3.10566997528,empty,empty,3758835075.97,3758835075.98,3758826605.0,3758826610.5,port_timestamp,1.41400003433,7.86369991302,29.6333389389,1023.09100585,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
