obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759697807.61,9,2.88189005852,empty,empty,3759700471.95,3759700471.97,3759697801.0,3759697807.61,port_timestamp,7.41900014877,7.9795999527,27.1925244652,1021.18913883,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759708607.56,9,2.87729001045,empty,empty,3759721489.39,3759721489.47,3759708601.0,3759708607.56,port_timestamp,7.50600004196,7.89900016785,27.2072226363,1021.21160339,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759719407.51,9,2.88382005692,empty,empty,3759721489.39,3759721489.47,3759719401.0,3759719407.51,port_timestamp,7.30700016022,7.91410017014,27.2636101444,1021.25291921,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759730207.58,9,2.91032004356,empty,empty,3759765602.97,3759765602.99,3759730201.0,3759730207.58,port_timestamp,7.257999897,8.10260009766,27.3922497467,1021.32864421,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759741007.57,9,2.92393994331,empty,empty,3759765602.97,3759765602.99,3759741001.0,3759741007.57,port_timestamp,7.50299978256,8.39939975739,27.302249766,1021.2193136,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759751807.57,9,2.88678002357,empty,empty,3759765602.97,3759765602.99,3759751801.0,3759751807.57,port_timestamp,7.34800004959,7.84940004349,27.3449969303,1021.32535173,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759762607.57,9,2.90246009827,empty,empty,3759765602.97,3759765602.99,3759762601.0,3759762607.57,port_timestamp,7.19299983978,8.08759975433,27.3223844106,1021.27560102,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759773407.57,9,2.90613007545,empty,empty,3759786587.39,3759786587.4,3759773401.0,3759773407.57,port_timestamp,7.49700021744,8.07929992676,27.3668353053,1021.31292933,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759784207.58,9,2.90521001816,empty,empty,3759786593.81,3759786594.45,3759784201.0,3759784207.58,port_timestamp,7.5110001564,8.06620025635,27.3674957262,1021.31524991,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759795007.58,9,2.9061999321,empty,empty,3759807600.85,3759807601.13,3759795001.0,3759795007.58,port_timestamp,7.21700000763,8.05749988556,27.3846885282,1021.32852311,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759805807.58,9,2.91998004913,empty,empty,3759807600.85,3759807601.13,3759805801.0,3759805807.58,port_timestamp,7.25899982452,8.2544002533,27.3740222384,1021.29403635,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759816607.58,9,2.92648005486,empty,empty,3759830699.14,3759830699.16,3759816601.0,3759816607.58,port_timestamp,7.30999994278,8.31709957123,27.3923820725,1021.30017199,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759827407.59,9,2.9146399498,empty,empty,3759830699.14,3759830699.16,3759827401.0,3759827407.59,port_timestamp,7.41699981689,8.1875,27.3707809159,1021.30121644,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759838207.58,9,2.91143989563,empty,empty,3759851708.81,3759851708.82,3759838201.0,3759838207.58,port_timestamp,7.32800006866,8.14509963989,27.3706905573,1021.30640937,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759849007.58,9,2.88631010056,empty,empty,3759851708.81,3759851708.82,3759849001.0,3759849007.58,port_timestamp,7.2389998436,7.83540010452,27.3510897703,1021.331448,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759859807.58,9,2.8972299099,empty,empty,3759872705.51,3759872705.53,3759859801.0,3759859807.58,port_timestamp,7.38700008392,7.97039985657,27.3593497285,1021.32095103,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
