obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758315408.76,9,3.15410995483,empty,empty,3758339361.04,3758339361.06,3758315403.0,3758315408.76,port_timestamp,1.4090000391,8.94760036469,29.2318910924,1022.62343723,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
1,3758322608.09,9,3.10773992538,empty,empty,3758339361.04,3758339361.06,3758322603.0,3758322608.09,port_timestamp,1.40699994564,8.67319965363,28.9803687499,1022.46645856,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
2,3758329808.48,9,3.09013009071,empty,empty,3758339361.04,3758339361.06,3758329803.0,3758329808.48,port_timestamp,1.40999996662,8.57180023193,28.8815874383,1022.40361081,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
3,3758337008.79,9,3.05638003349,empty,empty,3758339361.04,3758339361.06,3758337003.0,3758337008.79,port_timestamp,1.40199995041,8.27149963379,28.7772857403,1022.36394354,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
4,3758344210.0,9,3.06666994095,empty,empty,3758383464.32,3758383464.4,3758344204.0,3758344210.0,port_timestamp,1.41199994087,8.31680011749,28.8471772406,1022.41246439,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
5,3758351408.3,9,3.07277989388,empty,empty,3758383464.32,3758383464.4,3758351403.0,3758351408.3,port_timestamp,1.41100001335,8.33409976959,28.8964864556,1022.44867918,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
6,3758358608.09,9,3.08376002312,empty,empty,3758383464.32,3758383464.4,3758358603.0,3758358608.09,port_timestamp,1.41499996185,8.3606004715,28.9887880554,1022.51729995,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
7,3758365808.71,9,3.07201004028,empty,empty,3758383464.32,3758383464.4,3758365803.0,3758365808.71,port_timestamp,1.41400003433,8.26840019226,28.9424692525,1022.4938401,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
8,3758373009.93,9,3.05426001549,empty,empty,3758383464.32,3758383464.4,3758373004.0,3758373009.93,port_timestamp,1.41199994087,8.09899997711,28.8967934814,1022.48134182,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
9,3758380210.66,9,3.04388999939,empty,empty,3758383464.32,3758383464.4,3758380205.0,3758380210.66,port_timestamp,1.41799998283,8.05340003967,28.8258900199,1022.43199959,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
10,3758387409.92,9,3.04566001892,empty,empty,3758446476.0,3758446476.01,3758387404.0,3758387409.92,port_timestamp,1.42299997807,8.09640026093,28.8090517368,1022.41296998,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
11,3758394609.37,9,3.04451990128,empty,empty,3758446476.0,3758446476.01,3758394604.0,3758394609.37,port_timestamp,1.42599999905,8.10970020294,28.7862206069,1022.39327408,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
12,3758401809.6,9,3.04677009583,empty,empty,3758446483.88,3758446485.91,3758401804.0,3758401809.6,port_timestamp,1.42599999905,8.01399993896,28.888483936,1022.4864592,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
13,3758409008.91,9,3.06684994698,empty,empty,3758446483.88,3758446485.91,3758409003.0,3758409008.91,port_timestamp,1.43099999428,8.07439994812,29.0487886427,1022.6039405,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
14,3758416210.63,9,3.06578993797,empty,empty,3758446483.88,3758446485.92,3758416205.0,3758416210.63,port_timestamp,1.44400000572,8.03299999237,29.0720114269,1022.62785649,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
15,3758423408.84,9,3.05468010902,empty,empty,3758446483.88,3758446485.92,3758423403.0,3758423408.84,port_timestamp,1.44900000095,7.93709993362,29.0350584702,1022.61191316,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
16,3758430608.5,9,3.0544500351,empty,empty,3758446483.88,3758446485.92,3758430603.0,3758430608.5,port_timestamp,1.45500004292,7.92490005493,29.0427684953,1022.61963507,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
17,3758437809.11,9,3.05842995644,empty,empty,3758446483.88,3758446485.92,3758437804.0,3758437809.11,port_timestamp,1.46300005913,7.9187002182,29.0897339684,1022.65734509,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
18,3758445009.71,9,3.06005001068,empty,empty,3758446483.88,3758446485.92,3758445004.0,3758445009.71,port_timestamp,1.47099995613,7.91459989548,29.1101697216,1022.67396418,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
19,3758452209.05,9,3.06563997269,empty,empty,3758490574.71,3758490574.73,3758452204.0,3758452209.05,port_timestamp,1.47899997234,7.9092001915,29.1734330609,1022.724352,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
20,3758459408.11,9,3.07283997536,empty,empty,3758490574.71,3758490574.74,3758459403.0,3758459408.11,port_timestamp,1.48399996758,7.93090009689,29.2310090871,1022.76659931,29,29,29,21,29,29,29,29,29,29,47.13475,-124.27115
