obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759525006.71,9,3.23801994324,empty,empty,3759528254.88,3759528254.9,3759525007.0,3759525006.71,port_timestamp,27.8990001678,10.5666999817,28.7607797428,1022.12518012,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3759532204.62,9,3.23702001572,empty,empty,3759549254.12,3759549254.18,3759532205.0,3759532204.62,port_timestamp,27.6399993896,10.5228996277,28.7855700554,1022.15045194,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3759539407.83,9,3.24290990829,empty,empty,3759549254.12,3759549254.18,3759539408.0,3759539407.83,port_timestamp,29.2089996338,10.5689001083,28.8066091157,1022.16641347,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3759546605.92,9,3.24556994438,empty,empty,3759549254.12,3759549254.18,3759546607.0,3759546605.92,port_timestamp,30.4510002136,10.5754003525,28.8271489465,1022.18696782,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3759553804.45,9,3.24654006958,empty,empty,3759570262.86,3759570262.87,3759553805.0,3759553804.45,port_timestamp,30.6329994202,10.5593004227,28.8493307462,1022.20769184,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3759561004.61,9,3.24974989891,empty,empty,3759570262.86,3759570262.87,3759561005.0,3759561004.61,port_timestamp,29.8549995422,10.5749998093,28.868786483,1022.21671365,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3759568206.74,9,3.24611997604,empty,empty,3759570262.86,3759570262.87,3759568207.0,3759568206.74,port_timestamp,28.8950004578,10.5037002563,28.889850919,1022.2404185,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3759575405.32,9,3.24780988693,empty,empty,3759591250.2,3759591250.23,3759575406.0,3759575405.32,port_timestamp,28.9610004425,10.4967002869,28.9120189724,1022.25911044,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3759582605.48,9,3.25077009201,empty,empty,3759591250.2,3759591250.23,3759582606.0,3759582605.48,port_timestamp,29.8349990845,10.5080003738,28.9318831976,1022.2766847,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3759589806.55,9,3.25463008881,empty,empty,3759591250.2,3759591250.23,3759589807.0,3759589806.55,port_timestamp,31.1329994202,10.5334997177,28.94916942,1022.29187143,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
