obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759179407.55,9,2.99680995941,empty,empty,3759202663.76,3759202665.08,3759179401.0,3759179407.55,port_timestamp,7.08099985123,7.7389998436,28.5875143323,1022.31315512,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759190207.56,9,2.99914002419,empty,empty,3759202663.76,3759202665.08,3759190201.0,3759190207.56,port_timestamp,6.59000015259,7.7718000412,28.5853689629,1022.30488248,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759201007.55,9,3.01127004623,empty,empty,3759202663.76,3759202665.08,3759201001.0,3759201007.55,port_timestamp,7.1890001297,7.87099981308,28.6313557207,1022.33052708,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759211807.56,9,2.99153995514,empty,empty,3759225765.6,3759225765.67,3759211801.0,3759211807.56,port_timestamp,7.24800014496,7.82840013504,28.4589555066,1022.20124554,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759222607.56,9,2.9930999279,empty,empty,3759225765.6,3759225765.67,3759222601.0,3759222607.56,port_timestamp,7.20499992371,7.78819990158,28.5081623204,1022.24497096,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759233407.56,9,2.98229002953,empty,empty,3759246759.13,3759246759.15,3759233401.0,3759233407.56,port_timestamp,7.30000019073,7.79090023041,28.3922872804,1022.15415087,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759244207.56,9,2.91778993607,empty,empty,3759246759.13,3759246759.15,3759244201.0,3759244207.56,port_timestamp,7.45100021362,7.44239997864,27.9942921191,1021.8876368,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759255007.56,9,2.87128996849,empty,empty,3759267764.67,3759267764.69,3759255001.0,3759255007.56,port_timestamp,6.99499988556,7.37230014801,27.5585497117,1021.55220676,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759265807.56,9,2.87572002411,empty,empty,3759267778.5,3759267781.89,3759265801.0,3759265807.56,port_timestamp,6.98000001907,7.68300008774,27.3598020023,1021.35676682,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759276607.56,9,2.84448003769,empty,empty,3759288816.62,3759288816.65,3759276601.0,3759276607.56,port_timestamp,7.16400003433,7.98000001907,26.8035223547,1020.88305641,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759287407.56,9,2.83827996254,empty,empty,3759288816.62,3759288816.65,3759287401.0,3759287407.56,port_timestamp,7.21799993515,7.92030000687,26.7847648972,1020.87636214,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759298207.56,9,2.84752011299,empty,empty,3759311905.24,3759311905.26,3759298201.0,3759298207.56,port_timestamp,7.39699983597,8.00539970398,26.8155509315,1020.89024166,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759309007.62,9,2.85013008118,empty,empty,3759311905.24,3759311905.26,3759309001.0,3759309007.62,port_timestamp,7.47900009155,8.00809955597,26.840537632,1020.9098457,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759319807.59,9,2.85540008545,empty,empty,3759332911.43,3759332911.44,3759319801.0,3759319807.59,port_timestamp,7.41800022125,8.04959964752,26.8634390831,1020.92207305,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759330607.54,9,2.85997009277,empty,empty,3759332911.43,3759332911.44,3759330601.0,3759330607.54,port_timestamp,7.375,8.08100032806,26.8867635668,1020.93602098,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759341407.49,9,2.86125993729,empty,empty,3759353894.04,3759353894.06,3759341401.0,3759341407.49,port_timestamp,7.14200019836,8.06369972229,26.9134876883,1020.95816169,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
