obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758661007.54,9,2.93784999847,empty,empty,3758662835.13,3758662837.16,3758661001.0,3758661007.54,port_timestamp,7.36000013351,7.570499897,28.1029237969,1021.95611104,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
1,3758668207.54,9,2.9390399456,empty,empty,3758727951.15,3758727951.17,3758668201.0,3758668207.54,port_timestamp,7.19799995422,7.58409976959,28.1045600131,1021.95489645,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
2,3758675407.54,9,2.93437004089,empty,empty,3758727951.15,3758727951.17,3758675401.0,3758675407.54,port_timestamp,7.19999980927,7.51459980011,28.1114294934,1021.96923416,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
3,3758682607.54,9,2.93752002716,empty,empty,3758727951.15,3758727951.17,3758682601.0,3758682607.54,port_timestamp,7.35900020599,7.53529977798,28.1279016066,1021.98024139,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
4,3758689807.54,9,2.93594002724,empty,empty,3758727951.15,3758727951.17,3758689801.0,3758689807.54,port_timestamp,7.12099981308,7.53170013428,28.1142193075,1021.96886661,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
5,3758697007.54,9,2.93101000786,empty,empty,3758727951.15,3758727951.17,3758697001.0,3758697007.54,port_timestamp,7.01999998093,7.49870014191,28.0888447876,1021.95271036,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
6,3758704207.54,9,2.93541002274,empty,empty,3758727951.15,3758727951.17,3758704201.0,3758704207.54,port_timestamp,7.14400005341,7.52089977264,28.1173459133,1021.97281308,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
7,3758711407.65,9,2.9363899231,empty,empty,3758727951.15,3758727951.17,3758711401.0,3758711407.65,port_timestamp,7.21700000763,7.50050020218,28.1441904449,1021.99683945,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
8,3758718607.61,9,2.93147993088,empty,empty,3758727951.15,3758727951.17,3758718601.0,3758718607.61,port_timestamp,7.39099979401,7.4250998497,28.1532776657,1022.01440437,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
9,3758725807.57,9,2.93740010262,empty,empty,3758727951.15,3758727951.17,3758725801.0,3758725807.57,port_timestamp,7.25,7.492000103,28.1617486151,1022.01186541,29,29,29,29,29,29,29,29,29,21,47.13475,-124.27115
