obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3757969806.96,9,3.34192991257,empty,empty,3757971784.35,3757971784.6,3757969807.0,3757969806.96,port_timestamp,28.1979999542,10.6206998825,29.7403951294,1022.87978148,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3757977007.26,9,3.34244990349,empty,empty,3757992772.93,3757992772.95,3757977007.0,3757977007.26,port_timestamp,28.8530006409,10.616399765,29.7487635005,1022.88997296,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3757984205.32,9,3.34308004379,empty,empty,3757992772.93,3757992772.95,3757984205.0,3757984205.32,port_timestamp,29.8530006409,10.6075000763,29.7618313162,1022.90614768,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3757991406.18,9,3.34372997284,empty,empty,3757992772.93,3757992772.95,3757991406.0,3757991406.18,port_timestamp,30.1149997711,10.5956001282,29.7778395518,1022.92177099,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3757998605.16,9,3.34308004379,empty,empty,3758015873.65,3758015873.67,3757998605.0,3757998605.16,port_timestamp,29.7549991608,10.5641002655,29.7972640087,1022.94048625,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758005805.56,9,3.3423500061,empty,empty,3758015873.65,3758015873.67,3758005805.0,3758005805.56,port_timestamp,29.0079994202,10.5354003906,29.8137874133,1022.95472221,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758013004.78,9,3.33849000931,empty,empty,3758015873.65,3758015873.67,3758013005.0,3758013004.78,port_timestamp,29.1299991608,10.4785003662,29.822082731,1022.97114105,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758020206.84,9,3.33476996422,empty,empty,3758036884.87,3758036884.88,3758020207.0,3758020206.84,port_timestamp,30.0580005646,10.429599762,29.8248938632,1022.98559426,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758027404.73,9,3.33319997787,empty,empty,3758036884.87,3758036884.88,3758027405.0,3758027404.73,port_timestamp,30.0699996948,10.3920001984,29.8401308776,1023.00369355,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758034606.53,9,3.33852005005,empty,empty,3758036884.87,3758036884.89,3758034606.0,3758034606.53,port_timestamp,30.9190006256,10.443400383,29.8504041474,1023.00709856,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
