obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3760043410.99,9,3.03224992752,empty,empty,3760044981.98,3760044983.32,3760043406.0,3760043410.99,port_timestamp,1.45899999142,8.21119976044,28.575372134,1022.21431051,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3760054208.48,9,3.03783011436,empty,empty,3760131071.41,3760131071.43,3760054203.0,3760054208.48,port_timestamp,1.45299994946,8.11200046539,28.7144688011,1022.33684502,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3760065010.36,9,3.0059299469,empty,empty,3760131071.41,3760131071.43,3760065005.0,3760065010.36,port_timestamp,1.43799996376,7.83330011368,28.6085332069,1022.29122064,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3760075809.18,9,2.98854994774,empty,empty,3760131071.41,3760131071.43,3760075804.0,3760075809.18,port_timestamp,1.42700004578,7.70109987259,28.5338878048,1022.25006136,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3760086607.82,9,2.99109005928,empty,empty,3760131071.41,3760131071.43,3760086603.0,3760086607.82,port_timestamp,1.41600000858,7.69210004807,28.5680433644,1022.27799554,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3760097410.54,9,2.98898005486,empty,empty,3760131071.41,3760131071.43,3760097405.0,3760097410.54,port_timestamp,1.4090000391,7.63999986649,28.5885318304,1022.30086479,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3760108210.99,9,2.99618005753,empty,empty,3760131071.41,3760131071.43,3760108206.0,3760108210.99,port_timestamp,1.40699994564,7.72629976273,28.5936528829,1022.29355633,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3760119009.9,9,3.00162005424,empty,empty,3760131071.41,3760131071.43,3760119005.0,3760119009.9,port_timestamp,1.4090000391,7.8329000473,28.5635862737,1022.25588247,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3760129809.54,9,3.02581000328,empty,empty,3760131087.8,3760131090.57,3760129804.0,3760129809.54,port_timestamp,1.42499995232,8.09829998016,28.6001884759,1022.24900825,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3760140608.02,9,3.00749993324,empty,empty,3760219291.29,3760219291.31,3760140603.0,3760140608.02,port_timestamp,1.42299997807,7.97709989548,28.5075618946,1022.19275541,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3760151409.17,9,2.99978995323,empty,empty,3760219291.29,3760219291.31,3760151404.0,3760151409.17,port_timestamp,1.43900001049,7.89209985733,28.4960283655,1022.19515567,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3760162209.22,9,3.01525998116,empty,empty,3760219291.29,3760219291.31,3760162204.0,3760162209.22,port_timestamp,1.4470000267,7.86889982224,28.677359032,1022.34050831,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3760173009.52,9,3.0214099884,empty,empty,3760219291.29,3760219291.31,3760173004.0,3760173009.52,port_timestamp,1.45899999142,7.85389995575,28.7542959584,1022.40291454,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3760183808.44,9,3.02345991135,empty,empty,3760219291.29,3760219291.31,3760183803.0,3760183808.44,port_timestamp,1.4659999609,7.83780002594,28.7891059457,1022.43240149,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3760194607.99,9,3.00979995728,empty,empty,3760219291.29,3760219291.31,3760194603.0,3760194607.99,port_timestamp,1.48199999332,7.92100000381,28.577389743,1022.25530125,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3760205408.09,9,3.00910997391,empty,empty,3760219291.29,3760219291.31,3760205403.0,3760205408.09,port_timestamp,1.47800004482,7.9672999382,28.532376526,1022.21378045,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
