obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759697804.11,9,3.32435011864,empty,empty,3759700471.8,3759700471.84,3759697805.0,3759697804.11,port_timestamp,28.5709991455,10.6531000137,29.540771058,1022.72076975,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3759705003.73,9,3.33047008514,empty,empty,3759721489.35,3759721489.47,3759705005.0,3759705003.73,port_timestamp,27.4239997864,10.6309995651,29.6193828198,1022.78041075,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3759712204.58,9,3.34308004379,empty,empty,3759721489.35,3759721489.47,3759712205.0,3759712204.58,port_timestamp,27.9659996033,10.6577997208,29.7216412846,1022.8579611,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3759719407.24,9,3.3503100872,empty,empty,3759721489.35,3759721489.47,3759719408.0,3759719407.24,port_timestamp,29.7280006409,10.655500412,29.7940487699,1022.9226515,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3759726605.03,9,3.3580300808,empty,empty,3759765602.77,3759765602.78,3759726606.0,3759726605.03,port_timestamp,30.8490009308,10.6510000229,29.8733676485,1022.99020463,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3759733804.87,9,3.36682009697,empty,empty,3759765602.77,3759765602.79,3759733806.0,3759733804.87,port_timestamp,30.6130008698,10.6501998901,29.9607959296,1023.05728809,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3759741007.31,9,3.37608003616,empty,empty,3759765602.77,3759765602.79,3759741008.0,3759741007.31,port_timestamp,29.2810001373,10.6548995972,30.0488122434,1023.11894515,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3759748206.51,9,3.38398003578,empty,empty,3759765602.77,3759765602.79,3759748207.0,3759748206.51,port_timestamp,28.3010005951,10.641500473,30.1382091215,1023.186316,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3759755406.56,9,3.39260005951,empty,empty,3759765602.77,3759765602.79,3759755407.0,3759755406.56,port_timestamp,28.232000351,10.6514997482,30.215091664,1023.24415253,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3759762607.25,9,3.40146994591,empty,empty,3759765602.77,3759765602.79,3759762608.0,3759762607.25,port_timestamp,30.3180007935,10.6738004684,30.2833675209,1023.30297174,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
