obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759525007.54,9,2.83225989342,empty,empty,3759528255.27,3759528255.29,3759525001.0,3759525007.54,port_timestamp,7.53100013733,7.44999980927,27.085032569,1021.17318162,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759535807.47,9,2.8362801075,empty,empty,3759549254.24,3759549254.26,3759535801.0,3759535807.47,port_timestamp,7.39200019836,7.4998998642,27.0885101576,1021.1690214,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759546607.57,9,2.84155011177,empty,empty,3759549254.24,3759549254.26,3759546601.0,3759546607.57,port_timestamp,7.37400007248,7.56850004196,27.0904832696,1021.1618498,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759557407.57,9,2.84979009628,empty,empty,3759570262.96,3759570262.97,3759557401.0,3759557407.57,port_timestamp,7.53100013733,7.66960000992,27.0982080115,1021.15580589,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759568207.57,9,2.8577299118,empty,empty,3759570262.96,3759570262.97,3759568201.0,3759568207.57,port_timestamp,7.56199979782,7.78609991074,27.0907805009,1021.13519484,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759579007.57,9,2.85738992691,empty,empty,3759591250.35,3759591250.37,3759579001.0,3759579007.57,port_timestamp,7.46000003815,7.78940010071,27.0847076031,1021.12953748,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759589807.57,9,2.86898994446,empty,empty,3759591250.35,3759591250.37,3759589801.0,3759589807.57,port_timestamp,7.46000003815,7.92759990692,27.0985786058,1021.12249824,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759600607.57,9,2.87585997581,empty,empty,3759614355.24,3759614355.25,3759600601.0,3759600607.57,port_timestamp,7.33799982071,8.01099967957,27.1055354148,1021.11647083,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759611407.57,9,2.86830997467,empty,empty,3759614361.5,3759614361.77,3759611401.0,3759611407.57,port_timestamp,7.46799993515,7.92500019073,27.0935088605,1021.11890026,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759622207.57,9,2.86774992943,empty,empty,3759635367.02,3759635367.03,3759622201.0,3759622207.57,port_timestamp,7.47100019455,7.94169998169,27.0747555013,1021.10203622,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759633007.57,9,2.86772990227,empty,empty,3759635367.02,3759635367.04,3759633001.0,3759633007.57,port_timestamp,7.28000020981,7.90910005569,27.0998561197,1021.1250816,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759643807.57,9,2.89114999771,empty,empty,3759656371.64,3759656371.68,3759643801.0,3759643807.57,port_timestamp,7.52199983597,8.22280025482,27.1003753233,1021.08519249,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759654607.58,9,2.88811993599,empty,empty,3759656371.64,3759656371.68,3759654601.0,3759654607.58,port_timestamp,7.47700023651,8.1513004303,27.1242072209,1021.11318961,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759665407.57,9,2.8714799881,empty,empty,3759679496.88,3759679496.9,3759665401.0,3759665407.57,port_timestamp,6.96299982071,7.92449998856,27.1271039797,1021.14297319,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759676207.57,9,2.94673991203,empty,empty,3759679496.88,3759679496.9,3759676201.0,3759676207.57,port_timestamp,7.33599996567,8.88239955902,27.1641327353,1021.04347745,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759687007.67,9,2.86877989769,empty,empty,3759700469.47,3759700470.64,3759687001.0,3759687007.67,port_timestamp,7.42100000381,7.83729982376,27.166467818,1021.1872792,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
