obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759006609.85,9,3.14502000809,empty,empty,3759009416.24,3759009416.26,3759006604.0,3759006609.85,port_timestamp,1.47399997711,8.18089962006,29.7778513701,1023.16094705,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
1,3759013808.73,9,3.14462995529,empty,empty,3759030406.43,3759030406.44,3759013803.0,3759013808.73,port_timestamp,1.46899998188,8.2486000061,29.716452571,1023.10332992,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
2,3759021009.67,9,3.15609002113,empty,empty,3759030406.43,3759030406.44,3759021004.0,3759021009.67,port_timestamp,1.44799995422,8.33469963074,29.763326931,1023.12784713,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
3,3759028209.53,9,3.11520004272,empty,empty,3759030406.43,3759030406.44,3759028204.0,3759028209.53,port_timestamp,1.41999995708,8.01900005341,29.602161676,1023.04537272,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
4,3759035408.31,9,3.12729001045,empty,empty,3759051438.95,3759051438.97,3759035403.0,3759035408.31,port_timestamp,1.41799998283,8.14879989624,29.6193539269,1023.04091577,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
5,3759042608.9,9,3.08021998405,empty,empty,3759051438.95,3759051438.97,3759042604.0,3759042608.9,port_timestamp,1.43099999428,8.15900039673,29.1184606142,1022.64694488,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
6,3759049809.62,9,3.0734899044,empty,empty,3759051438.95,3759051438.97,3759049804.0,3759049809.62,port_timestamp,1.42200005054,8.12170028687,29.0790538439,1022.62114574,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
7,3759057010.25,9,3.06292009354,empty,empty,3759074522.24,3759074522.26,3759057005.0,3759057010.25,port_timestamp,1.40100002289,8.09630012512,28.9895643896,1022.55438144,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
8,3759064208.49,9,3.06695008278,empty,empty,3759074522.24,3759074522.26,3759064203.0,3759064208.49,port_timestamp,1.39699995518,8.10719966888,29.0226936576,1022.57884076,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
9,3759071411.43,9,3.06645989418,empty,empty,3759074522.24,3759074522.26,3759071406.0,3759071411.43,port_timestamp,1.39199995995,8.07559967041,29.043728862,1022.599631,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
10,3759082209.45,9,3.06621003151,empty,empty,3759095533.97,3759095533.99,3759082204.0,3759082209.45,port_timestamp,1.39199995995,8.1263999939,28.9990834322,1022.55767966,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
11,3759093008.31,9,3.06715011597,empty,empty,3759095555.77,3759095555.87,3759093003.0,3759093008.31,port_timestamp,1.38900005817,8.17370033264,28.9698476099,1022.52825502,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
12,3759103815.15,9,3.0490899086,empty,empty,3759137555.68,3759137555.73,3759103807.0,3759103815.15,port_timestamp,1.37800002098,7.97319984436,28.9465123864,1022.53726638,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
13,3759114610.16,9,3.04589009285,empty,empty,3759137555.68,3759137555.74,3759114605.0,3759114610.16,port_timestamp,1.3710000515,7.86310005188,29.0041305072,1022.59725931,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
14,3759125409.27,9,3.05202007294,empty,empty,3759137555.68,3759137555.74,3759125404.0,3759125409.27,port_timestamp,1.35599994659,7.86929988861,29.0634731254,1022.64290953,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
15,3759136208.43,9,3.05047011375,empty,empty,3759137555.68,3759137555.74,3759136203.0,3759136208.43,port_timestamp,1.33500003815,7.8220000267,29.0865388818,1022.66725423,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
16,3759147009.48,9,3.00244998932,empty,empty,3759160675.57,3759160684.07,3759147004.0,3759147009.48,port_timestamp,1.30999994278,7.71929979324,28.6655215388,1022.35042856,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
17,3759157807.96,9,2.98410010338,empty,empty,3759160675.57,3759160684.07,3759157803.0,3759157807.96,port_timestamp,1.28999996185,7.69350004196,28.4932605479,1022.2185454,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
18,3759168608.87,9,3.0055000782,empty,empty,3759202656.13,3759202656.15,3759168603.0,3759168608.87,port_timestamp,1.27799999714,7.7593998909,28.66470752,1022.3443509,29,13,29,5,29,13,29,13,29,13,47.13475,-124.27115
