obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3757969808.47,9,3.12633991241,empty,empty,3757971785.92,3757971785.99,3757969803.0,3757969808.47,port_timestamp,1.46300005913,9.22080039978,28.7263957048,1022.18826458,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3757977009.51,9,3.11658000946,empty,empty,3757992773.37,3757992773.38,3757977004.0,3757977009.51,port_timestamp,1.44200003147,9.16370010376,28.673104281,1022.15499779,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3757984209.58,9,3.11069989204,empty,empty,3757992773.37,3757992773.39,3757984204.0,3757984209.58,port_timestamp,1.42999994755,9.11340045929,28.6536888805,1022.14719357,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3757991409.84,9,3.11392998695,empty,empty,3757992773.37,3757992773.39,3757991404.0,3757991409.84,port_timestamp,1.43099999428,9.11649990082,28.6840835672,1022.17049253,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3757998610.04,9,3.11953997612,empty,empty,3758015873.89,3758015873.91,3757998604.0,3757998610.04,port_timestamp,1.43499994278,9.12440013885,28.7348435347,1022.20901046,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758005809.36,9,3.12470006943,empty,empty,3758015873.89,3758015873.91,3758005804.0,3758005809.36,port_timestamp,1.43299996853,9.14200019836,28.7731916431,1022.236367,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758013009.48,9,3.12632989883,empty,empty,3758015873.89,3758015873.91,3758013004.0,3758013009.48,port_timestamp,1.43299996853,9.16240024567,28.7733267555,1022.23345459,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758020209.52,9,3.12144994736,empty,empty,3758036885.48,3758036885.5,3758020204.0,3758020209.52,port_timestamp,1.41999995708,9.17450046539,28.7139539073,1022.1852152,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758027408.14,9,3.11140990257,empty,empty,3758036885.48,3758036885.5,3758027403.0,3758027408.14,port_timestamp,1.41400003433,9.16320037842,28.6209465853,1022.11419299,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758034608.5,9,3.12333011627,empty,empty,3758036885.48,3758036885.5,3758034603.0,3758034608.5,port_timestamp,1.41700005531,9.12329959869,28.7743327326,1022.23994816,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
10,3758041808.14,9,3.11754989624,empty,empty,3758057873.93,3758057873.95,3758041803.0,3758041808.14,port_timestamp,1.42499995232,9.15219974518,28.6922188882,1022.17155445,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
11,3758049009.92,9,3.10805988312,empty,empty,3758057873.93,3758057873.95,3758049004.0,3758049009.92,port_timestamp,1.42599999905,9.19579982758,28.5607933002,1022.06243438,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
12,3758056208.26,9,3.09278011322,empty,empty,3758057877.45,3758057877.49,3758056203.0,3758056208.26,port_timestamp,1.42499995232,9.20890045166,28.3952488443,1021.93117513,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
13,3758063408.61,9,3.03455996513,empty,empty,3758081033.82,3758081033.83,3758063403.0,3758063408.61,port_timestamp,1.44299995899,9.28310012817,27.7477342111,1021.41463221,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
14,3758070609.21,9,3.0247900486,empty,empty,3758081033.82,3758081033.83,3758070604.0,3758070609.21,port_timestamp,1.4470000267,9.34169960022,27.6038765602,1021.29371325,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
15,3758077809.88,9,3.04082989693,empty,empty,3758081033.82,3758081033.83,3758077804.0,3758077809.88,port_timestamp,1.4470000267,9.33010005951,27.774541936,1021.42865823,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
16,3758085010.32,9,2.96800994873,empty,empty,3758101996.4,3758101996.42,3758085005.0,3758085010.32,port_timestamp,1.4509999752,9.29839992523,27.0652679148,1020.87961766,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
17,3758092208.13,9,2.93161010742,empty,empty,3758101996.4,3758101996.42,3758092203.0,3758092208.13,port_timestamp,1.45000004768,9.27600002289,26.7160834857,1020.61028692,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
18,3758099409.75,9,2.85221004486,empty,empty,3758101996.4,3758101996.42,3758099404.0,3758099409.75,port_timestamp,1.43599998951,9.16059970856,26.0034114475,1020.07038781,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
19,3758106608.13,9,2.8313999176,empty,empty,3758123033.13,3758123033.15,3758106603.0,3758106608.13,port_timestamp,1.42900002003,9.11359977722,25.828459011,1019.94039678,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
20,3758113808.52,9,2.81262993813,empty,empty,3758123033.13,3758123033.15,3758113803.0,3758113808.52,port_timestamp,1.42900002003,9.02869987488,25.7010423524,1019.85279109,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
21,3758121008.13,9,2.81758999825,empty,empty,3758123033.13,3758123033.15,3758121003.0,3758121008.13,port_timestamp,1.4279999733,9.0361995697,25.7455456194,1019.88649462,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
22,3758128209.83,9,2.83838009834,empty,empty,3758144009.69,3758144009.71,3758128204.0,3758128209.83,port_timestamp,1.42200005054,9.11839962006,25.8951287431,1019.99174297,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
23,3758135408.2,9,2.85980010033,empty,empty,3758144009.69,3758144009.71,3758135403.0,3758135408.2,port_timestamp,1.41999995708,9.18290042877,26.0633971159,1020.1139822,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
