obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758488204.78,9,3.43831992149,empty,empty,3758490577.35,3758490577.36,3758488205.0,3758488204.78,port_timestamp,29.1340007782,10.5427999496,30.7580693098,1023.68907268,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3758495407.56,9,3.4414100647,empty,empty,3758555690.18,3758555690.22,3758495408.0,3758495407.56,port_timestamp,28.3080005646,10.5741996765,30.762591081,1023.68358512,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3758502606.25,9,3.44560003281,empty,empty,3758555690.18,3758555690.22,3758502606.0,3758502606.25,port_timestamp,27.7689990997,10.6169996262,30.7682732649,1023.67836665,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3758509808.14,9,3.4455499649,empty,empty,3758555690.18,3758555690.22,3758509808.0,3758509808.14,port_timestamp,28.9249992371,10.6072998047,30.7754760672,1023.69083148,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3758517006.15,9,3.44526004791,empty,empty,3758555690.18,3758555690.22,3758517006.0,3758517006.15,port_timestamp,29.9319992065,10.5965003967,30.7812951358,1023.70173067,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3758524204.85,9,3.44697999954,empty,empty,3758555690.18,3758555690.22,3758524205.0,3758524204.85,port_timestamp,30.5580005646,10.60779953,30.7885593912,1023.70832186,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3758531405.72,9,3.44846010208,empty,empty,3758555690.19,3758555690.22,3758531406.0,3758531405.72,port_timestamp,29.6560001373,10.6187000275,30.7944024482,1023.70694364,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3758538606.43,9,3.44754004478,empty,empty,3758555690.19,3758555690.22,3758538607.0,3758538606.43,port_timestamp,29.0939998627,10.6017999649,30.7997680572,1023.71142999,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3758545806.76,9,3.44744992256,empty,empty,3758555690.19,3758555690.22,3758545807.0,3758545806.76,port_timestamp,29.0079994202,10.5921001434,30.8070952364,1023.7183789,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3758553004.5,9,3.4455499649,empty,empty,3758555690.19,3758555690.22,3758553005.0,3758553004.5,port_timestamp,29.5939998627,10.5652999878,30.8106345212,1023.72829251,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
10,3758560206.52,9,3.44708991051,empty,empty,3758576687.29,3758576687.31,3758560207.0,3758560206.52,port_timestamp,30.5599994659,10.5769996643,30.8156361385,1023.73459529,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
11,3758567410.27,9,3.44707989693,empty,empty,3758576687.29,3758576687.31,3758567410.0,3758567410.27,port_timestamp,30.7240009308,10.5693998337,30.8218886716,1023.74148614,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
12,3758574607.96,9,3.44655990601,empty,empty,3758576689.9,3758576690.47,3758574608.0,3758574607.96,port_timestamp,29.9430007935,10.5584001541,30.8263421544,1023.74325771,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
13,3758581805.36,9,3.44664001465,empty,empty,3758620805.92,3758620805.93,3758581806.0,3758581805.36,port_timestamp,28.9050006866,10.5544996262,30.8308585487,1023.74273835,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
14,3758589007.63,9,3.44727993011,empty,empty,3758620805.92,3758620805.93,3758589008.0,3758589007.63,port_timestamp,28.1539993286,10.5546998978,30.8373499677,1023.74436416,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
15,3758596206.9,9,3.44805002213,empty,empty,3758620805.92,3758620805.93,3758596207.0,3758596206.9,port_timestamp,28.5009994507,10.5574998856,30.8424807205,1023.74945588,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
16,3758603405.38,9,3.44851994514,empty,empty,3758620805.92,3758620805.93,3758603406.0,3758603405.38,port_timestamp,30.357000351,10.5570001602,30.8468063864,1023.76130274,29,13,29,29,29,29,29,21,29,21,47.13475,-124.27115
