obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758142608.12,9,2.88097000122,empty,empty,3758144018.22,3758144019.73,3758142603.0,3758142608.12,port_timestamp,1.41499996185,9.19659996033,26.2660262541,1020.27019614,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3758149809.39,9,2.89522004128,empty,empty,3758167121.47,3758167121.61,3758149804.0,3758149809.39,port_timestamp,1.40400004387,9.1640996933,26.4333064196,1020.40538184,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3758157009.64,9,2.90953993797,empty,empty,3758167121.47,3758167121.61,3758157004.0,3758157009.64,port_timestamp,1.40199995041,9.130900383,26.6022042552,1020.54199174,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3758164211.06,9,2.91712999344,empty,empty,3758167121.47,3758167121.61,3758164206.0,3758164211.06,port_timestamp,1.39499998093,9.12409973145,26.6838164683,1020.60666298,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3758171410.28,9,2.92378997803,empty,empty,3758188180.25,3758188180.26,3758171405.0,3758171410.28,port_timestamp,1.39499998093,9.06719970703,26.7937073716,1020.7006028,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758178609.59,9,2.95587992668,empty,empty,3758188180.25,3758188180.26,3758178604.0,3758178609.59,port_timestamp,1.39800000191,8.99510002136,27.1731734952,1021.00733461,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758185809.67,9,2.96943998337,empty,empty,3758188180.25,3758188180.26,3758185804.0,3758185809.67,port_timestamp,1.40400004387,8.96399974823,27.3346066103,1021.13793877,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758193009.03,9,2.97990989685,empty,empty,3758274247.56,3758274247.58,3758193003.0,3758193009.03,port_timestamp,1.39800000191,8.87600040436,27.5089634007,1021.28670209,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758200212.08,9,3.02866005898,empty,empty,3758274247.56,3758274247.58,3758200207.0,3758200212.08,port_timestamp,1.42200005054,8.90709972382,27.9816643561,1021.65189698,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758207411.16,9,3.11266994476,empty,empty,3758274247.56,3758274247.58,3758207406.0,3758207411.16,port_timestamp,1.44799995422,9.04909992218,28.7255140392,1022.21285731,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
10,3758214608.74,9,3.13686990738,empty,empty,3758274247.56,3758274247.58,3758214603.0,3758214608.74,port_timestamp,1.44400000572,9.07349967957,28.9526698172,1022.38679039,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
11,3758221809.1,9,3.15454006195,empty,empty,3758274247.56,3758274247.58,3758221804.0,3758221809.1,port_timestamp,1.42200005054,9.13160037994,29.0856348604,1022.48200876,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
12,3758229008.8,9,3.111109972,empty,empty,3758274259.28,3758274259.81,3758229003.0,3758229008.8,port_timestamp,1.38300001621,8.95250034332,28.7876442348,1022.27525446,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
13,3758236208.56,9,3.12881994247,empty,empty,3758274259.28,3758274259.81,3758236203.0,3758236208.56,port_timestamp,1.37699997425,8.90060043335,29.0111770267,1022.45757402,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
14,3758243408.11,9,3.15798997879,empty,empty,3758274259.28,3758274259.81,3758243403.0,3758243408.11,port_timestamp,1.39400005341,9.00339984894,29.2257928569,1022.61039472,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
15,3758250608.11,9,3.16579008102,empty,empty,3758274259.28,3758274259.81,3758250603.0,3758250608.11,port_timestamp,1.40999996662,9.01150035858,29.2989687954,1022.66648226,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
16,3758257809.83,9,3.14668011665,empty,empty,3758274259.28,3758274259.81,3758257804.0,3758257809.83,port_timestamp,1.40499997139,8.9795999527,29.1295362331,1022.53869086,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
17,3758265008.71,9,3.12381005287,empty,empty,3758274259.28,3758274259.81,3758265003.0,3758265008.71,port_timestamp,1.40100002289,8.85919952393,28.9935847578,1022.44994908,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
18,3758272208.1,9,3.11104011536,empty,empty,3758274259.28,3758274259.81,3758272203.0,3758272208.1,port_timestamp,1.38999998569,8.71889972687,28.9769810211,1022.45717635,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
