obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759352204.48,9,3.1789700985,empty,empty,3759353908.49,3759353913.2,3759352205.0,3759352204.48,port_timestamp,28.1180000305,10.4050998688,28.3061814038,1021.79868921,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3759359405.44,9,3.1856200695,empty,empty,3759419032.69,3759419032.71,3759359406.0,3759359405.44,port_timestamp,28.7840003967,10.4684000015,28.3221869459,1021.80395695,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3759366605.43,9,3.19004011154,empty,empty,3759419032.69,3759419032.71,3759366606.0,3759366605.43,port_timestamp,29.7789993286,10.504699707,28.33705874,1021.81416788,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3759373806.62,9,3.19470000267,empty,empty,3759419032.69,3759419032.71,3759373807.0,3759373806.62,port_timestamp,30.232000351,10.5450000763,28.3513503392,1021.82080406,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3759381005.61,9,3.19112992287,empty,empty,3759419032.69,3759419032.71,3759381006.0,3759381005.61,port_timestamp,29.9430007935,10.4821996689,28.3651910708,1021.84044485,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3759388205.59,9,3.19971990585,empty,empty,3759419032.69,3759419032.71,3759388206.0,3759388205.59,port_timestamp,29.3759994507,10.5768003464,28.3762364231,1021.83109686,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3759395406.6,9,3.20155000687,empty,empty,3759419032.69,3759419032.71,3759395407.0,3759395406.6,port_timestamp,29.033000946,10.5881996155,28.3854594294,1021.8348561,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3759402605.94,9,3.20585989952,empty,empty,3759419032.69,3759419032.71,3759402606.0,3759402605.94,port_timestamp,30.0659999847,10.6302995682,28.3946097871,1021.83978451,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3759409805.53,9,3.21087002754,empty,empty,3759419032.69,3759419032.71,3759409806.0,3759409805.53,port_timestamp,30.9790000916,10.6824998856,28.4027900767,1021.84175163,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3759417006.89,9,3.21263003349,empty,empty,3759419032.69,3759419032.71,3759417008.0,3759417006.89,port_timestamp,30.8029994965,10.6943998337,28.4108408369,1021.84525568,29,21,29,29,29,29,29,21,29,21,47.13475,-124.27115
