obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758833808.37,9,3.11751008034,empty,empty,3758835088.75,3758835090.73,3758833803.0,3758833808.37,port_timestamp,1.4090000391,7.94659996033,29.6877836915,1023.1224005,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3758841008.11,9,3.12189006805,empty,empty,3758858163.11,3758858163.13,3758841003.0,3758841008.11,port_timestamp,1.40799999237,7.96810007095,29.7156409167,1023.14130282,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3758848208.01,9,3.12432003021,empty,empty,3758858163.11,3758858163.13,3758848203.0,3758848208.01,port_timestamp,1.41199994087,7.95179986954,29.7550756714,1023.17448687,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3758855409.82,9,3.12313008308,empty,empty,3758858163.11,3758858163.13,3758855404.0,3758855409.82,port_timestamp,1.41100001335,7.91379976273,29.774880639,1023.1952169,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3758862609.35,9,3.13757991791,empty,empty,3758879169.29,3758879169.3,3758862604.0,3758862609.35,port_timestamp,1.41999995708,7.98229980469,29.8687101557,1023.25946924,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758869810.99,9,3.14387011528,empty,empty,3758879169.29,3758879169.3,3758869806.0,3758869810.99,port_timestamp,1.41999995708,7.99910020828,29.9205816116,1023.29784007,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758877010.47,9,3.14562010765,empty,empty,3758879169.29,3758879169.3,3758877005.0,3758877010.47,port_timestamp,1.41499996185,8.00049972534,29.9378087976,1023.31113596,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758884208.76,9,3.08607006073,empty,empty,3758965291.39,3758965291.41,3758884203.0,3758884208.76,port_timestamp,1.39300000668,7.62890005112,29.6255209829,1023.11632679,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758891408.0,9,3.06609988213,empty,empty,3758965291.39,3758965291.41,3758891403.0,3758891408.0,port_timestamp,1.39800000191,7.52479982376,29.5019100352,1023.03305556,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758898608.89,9,3.06242990494,empty,empty,3758965291.39,3758965291.41,3758898603.0,3758898608.89,port_timestamp,1.39600002766,7.53690004349,29.4526305583,1022.99275161,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
10,3758905809.0,9,3.08481001854,empty,empty,3758965291.39,3758965291.41,3758905804.0,3758905809.0,port_timestamp,1.39499998093,7.66989994049,29.5772942185,1023.07301053,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
11,3758913009.64,9,3.08313989639,empty,empty,3758965291.39,3758965291.41,3758913004.0,3758913009.64,port_timestamp,1.38800001144,7.65999984741,29.5680025504,1023.06700386,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
12,3758920208.26,9,3.07158994675,empty,empty,3758965311.58,3758965316.38,3758920203.0,3758920208.26,port_timestamp,1.38800001144,7.58750009537,29.5070225886,1023.02875188,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
13,3758927408.16,9,3.05467009544,empty,empty,3758965311.58,3758965316.38,3758927403.0,3758927408.16,port_timestamp,1.38999998569,7.47559976578,29.4220668261,1022.97676203,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
14,3758934611.61,9,3.05931997299,empty,empty,3758965311.58,3758965316.38,3758934606.0,3758934611.61,port_timestamp,1.38600003719,7.48839998245,29.460696514,1023.00541031,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
15,3758941809.05,9,3.05529999733,empty,empty,3758965311.58,3758965316.38,3758941804.0,3758941809.05,port_timestamp,1.37999999523,7.43940019608,29.4594882661,1023.01084222,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
16,3758949009.18,9,3.057970047,empty,empty,3758965311.58,3758965316.38,3758949004.0,3758949009.18,port_timestamp,1.38800001144,7.47559976578,29.4571897395,1023.0043417,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
17,3758956209.97,9,3.10169005394,empty,empty,3758965311.58,3758965316.38,3758956205.0,3758956209.97,port_timestamp,1.40299999714,7.75229978561,29.6859680839,1023.14731109,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
