obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3758833807.55,9,2.99635004997,empty,empty,3758835086.92,3758835087.13,3758833801.0,3758833807.55,port_timestamp,7.13899993896,7.95679998398,28.405017669,1022.14133525,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
1,3758841007.54,9,3.00528001785,empty,empty,3758858162.59,3758858162.6,3758841001.0,3758841007.54,port_timestamp,7.38700008392,7.97149991989,28.4864280168,1022.20433235,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
2,3758848207.54,9,3.00862002373,empty,empty,3758858162.59,3758858162.6,3758848201.0,3758848207.54,port_timestamp,7.26800012589,7.95679998398,28.5334172312,1022.24260152,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
3,3758855407.54,9,3.00776004791,empty,empty,3758858162.59,3758858162.6,3758855401.0,3758855407.54,port_timestamp,7.15199995041,7.92210006714,28.5527614292,1022.26188872,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
4,3758862607.54,9,3.02677989006,empty,empty,3758879168.84,3758879168.85,3758862601.0,3758862607.54,port_timestamp,7.72800016403,7.99650001526,28.6909227068,1022.36286001,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
5,3758869807.54,9,3.02186989784,empty,empty,3758879168.84,3758879168.85,3758869801.0,3758869807.54,port_timestamp,7.09399986267,7.99879980087,28.6379074233,1022.31807421,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
6,3758877007.54,9,3.02271008492,empty,empty,3758879168.84,3758879168.85,3758877001.0,3758877007.54,port_timestamp,7.01900005341,7.99980020523,28.6459135938,1022.32387169,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
7,3758884207.54,9,3.0246899128,empty,empty,3758965291.18,3758965291.2,3758884201.0,3758884207.54,port_timestamp,7.13500022888,7.97989988327,28.6828830797,1022.35607434,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
8,3758891407.54,9,3.03009009361,empty,empty,3758965291.18,3758965291.2,3758891401.0,3758891407.54,port_timestamp,7.31300020218,7.99249982834,28.7290329138,1022.39137451,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
9,3758898607.54,9,3.00864005089,empty,empty,3758965291.18,3758965291.2,3758898601.0,3758898607.54,port_timestamp,7.2389998436,7.75869989395,28.6958661992,1022.39629188,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
10,3758905807.54,9,3.00334000587,empty,empty,3758965291.18,3758965291.2,3758905801.0,3758905807.54,port_timestamp,7.21000003815,7.7281999588,28.6651219092,1022.37606718,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
11,3758913007.66,9,3.00565004349,empty,empty,3758965291.18,3758965291.2,3758913001.0,3758913007.66,port_timestamp,7.2610001564,7.7295999527,28.6882939948,1022.39429911,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
12,3758920207.62,9,2.9995200634,empty,empty,3758965306.75,3758965308.73,3758920201.0,3758920207.62,port_timestamp,7.24599981308,7.66190004349,28.6793659656,1022.39613651,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
13,3758927407.59,9,2.99845004082,empty,empty,3758965306.75,3758965308.73,3758927401.0,3758927407.59,port_timestamp,6.79199981689,7.68970012665,28.645391847,1022.36373429,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
14,3758934607.55,9,2.99504995346,empty,empty,3758965306.75,3758965308.73,3758934601.0,3758934607.55,port_timestamp,6.76900005341,7.61350011826,28.6722122485,1022.39466661,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
15,3758941807.52,9,3.02234005928,empty,empty,3758965306.75,3758965308.73,3758941801.0,3758941807.52,port_timestamp,7.03100013733,7.86859989166,28.7496501952,1022.42290332,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
16,3758949007.47,9,3.02080011368,empty,empty,3758965306.75,3758965308.73,3758949001.0,3758949007.47,port_timestamp,6.91800022125,7.85430002213,28.745280788,1022.42086849,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
17,3758956207.46,9,3.02013993263,empty,empty,3758965306.75,3758965308.73,3758956201.0,3758956207.46,port_timestamp,7.25199985504,7.76779985428,28.8094924776,1022.48429593,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
18,3758963407.54,9,3.01901006699,empty,empty,3758965306.75,3758965308.73,3758963401.0,3758963407.54,port_timestamp,7.29899978638,7.71780014038,28.8388886381,1022.51420403,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
19,3758970607.54,9,3.01507997513,empty,empty,3758986310.54,3758986310.55,3758970601.0,3758970607.54,port_timestamp,7.53999996185,7.66769981384,28.8387626929,1022.52182598,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
20,3758977807.54,9,3.00694990158,empty,empty,3758986310.54,3758986310.55,3758977801.0,3758977807.54,port_timestamp,7.28000020981,7.56370019913,28.8390659659,1022.53450529,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
21,3758985007.55,9,2.9980199337,empty,empty,3758986310.54,3758986310.55,3758985001.0,3758985007.55,port_timestamp,7.46999979019,7.47870016098,28.8148319246,1022.52740265,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
22,3758992207.54,9,3.02501010895,empty,empty,3759009409.99,3759009410.01,3758992201.0,3758992207.54,port_timestamp,7.28499984741,7.80429983139,28.8306225674,1022.49617078,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
23,3758999407.55,9,3.05162000656,empty,empty,3759009409.99,3759009410.01,3758999401.0,3758999407.55,port_timestamp,7.34100008011,8.10820007324,28.8591691243,1022.47779329,29,29,29,29,29,29,29,29,29,29,47.13475,-124.27115
