obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759525009.38,9,2.88629007339,empty,empty,3759528256.41,3759528256.98,3759525004.0,3759525009.38,port_timestamp,1.54200005531,7.77839994431,27.3978363562,1021.34925684,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759535809.92,9,2.89362001419,empty,empty,3759549254.77,3759549254.88,3759535805.0,3759535809.92,port_timestamp,1.53999996185,7.77229976654,27.4793649824,1021.41398196,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759546609.81,9,2.89100003242,empty,empty,3759549254.77,3759549254.88,3759546604.0,3759546609.81,port_timestamp,1.53100001812,7.7093000412,27.5015611576,1021.43948639,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759557409.73,9,2.89925003052,empty,empty,3759570263.26,3759570263.27,3759557404.0,3759557409.73,port_timestamp,1.51999998093,7.62949991226,27.6513775483,1021.56723965,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759568209.53,9,2.90947008133,empty,empty,3759570263.26,3759570263.27,3759568204.0,3759568209.53,port_timestamp,1.51699995995,7.62370014191,27.7635149903,1021.65596987,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759579010.47,9,2.90781998634,empty,empty,3759591250.75,3759591250.77,3759579005.0,3759579010.47,port_timestamp,1.52199995518,7.7390999794,27.6544147571,1021.55550712,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759589810.8,9,2.91190004349,empty,empty,3759591250.75,3759591250.77,3759589805.0,3759589810.8,port_timestamp,1.52199995518,7.87839984894,27.5869445778,1021.4844524,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759600607.89,9,2.91513991356,empty,empty,3759614356.05,3759614356.07,3759600603.0,3759600607.89,port_timestamp,1.50100004673,7.91820001602,27.589391938,1021.48105466,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759611407.94,9,2.93721008301,empty,empty,3759614363.61,3759614365.13,3759611403.0,3759611407.94,port_timestamp,1.48800003529,7.98320007324,27.7682673135,1021.61264665,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759622209.23,9,2.9290099144,empty,empty,3759635367.72,3759635367.74,3759622204.0,3759622209.23,port_timestamp,1.48399996758,7.93400001526,27.7216989975,1021.58262626,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759633008.07,9,2.91539001465,empty,empty,3759635367.73,3759635367.74,3759633003.0,3759633008.07,port_timestamp,1.49199998379,7.9032998085,27.6037615405,1021.49423609,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759643811.17,9,2.98751997948,empty,empty,3759656371.85,3759656371.86,3759643806.0,3759643811.17,port_timestamp,1.49899995327,8.18280029297,28.1330280972,1021.87178695,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759654609.74,9,3.04378008842,empty,empty,3759656371.85,3759656371.86,3759654604.0,3759654609.74,port_timestamp,1.47200000286,7.89419984818,28.9561151096,1022.55588239,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759665410.68,9,3.0134499073,empty,empty,3759679497.46,3759679497.48,3759665405.0,3759665410.68,port_timestamp,1.43499994278,7.51490020752,28.9510057876,1022.60187404,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759676211.05,9,3.02415990829,empty,empty,3759679497.46,3759679497.48,3759676206.0,3759676211.05,port_timestamp,1.43499994278,7.59060001373,29.0014400222,1022.63158787,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759687009.76,9,3.06415009499,empty,empty,3759700469.87,3759700470.72,3759687005.0,3759687009.76,port_timestamp,1.45500004292,8.11100006104,28.9902536621,1022.55315775,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
