obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759352211.42,9,2.83277988434,empty,empty,3759353910.05,3759353914.57,3759352206.0,3759352211.42,port_timestamp,1.44400000572,7.77610015869,26.8403485972,1020.91188958,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
1,3759363008.32,9,2.83845996857,empty,empty,3759419033.48,3759419033.59,3759363003.0,3759363008.32,port_timestamp,1.4470000267,7.7188000679,26.9438648792,1021.00040805,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
2,3759373808.29,9,2.84312009811,empty,empty,3759419033.48,3759419033.59,3759373803.0,3759373808.29,port_timestamp,1.44500005245,7.65450000763,27.0424562778,1021.08592304,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
3,3759384608.11,9,2.81983995438,empty,empty,3759419033.48,3759419033.59,3759384603.0,3759384608.11,port_timestamp,1.44799995422,7.51779985428,26.9040649156,1020.99457772,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
4,3759395407.93,9,2.84225988388,empty,empty,3759419033.48,3759419033.6,3759395403.0,3759395407.93,port_timestamp,1.45899999142,7.57590007782,27.0945379791,1021.13680763,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
5,3759406209.92,9,2.85848999023,empty,empty,3759419033.48,3759419033.6,3759406205.0,3759406209.92,port_timestamp,1.46500003338,7.56090021133,27.2768530879,1021.28180848,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
6,3759417010.06,9,2.88046002388,empty,empty,3759419033.48,3759419033.6,3759417005.0,3759417010.06,port_timestamp,1.48500001431,7.69029998779,27.4059886936,1021.36673919,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
7,3759427810.92,9,2.89769005775,empty,empty,3759440002.41,3759440002.43,3759427806.0,3759427810.92,port_timestamp,1.50999999046,7.92980003357,27.398238297,1021.32971402,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
8,3759438610.19,9,2.90345001221,empty,empty,3759440009.71,3759440010.76,3759438605.0,3759438610.19,port_timestamp,1.51800000668,7.97749996185,27.4209050368,1021.34125363,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
9,3759449408.41,9,2.87843990326,empty,empty,3759463142.03,3759463142.04,3759449403.0,3759449408.41,port_timestamp,1.51100003719,7.78480005264,27.3107009624,1021.27994712,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
10,3759460207.91,9,2.87812995911,empty,empty,3759463142.03,3759463142.04,3759460203.0,3759460207.91,port_timestamp,1.52499997616,7.67710018158,27.3919066644,1021.35756844,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
11,3759471009.73,9,2.87650990486,empty,empty,3759505128.91,3759505128.93,3759471004.0,3759471009.73,port_timestamp,1.51400005817,7.4060997963,27.5891213172,1021.54668832,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
12,3759481808.31,9,2.87084007263,empty,empty,3759505128.91,3759505128.93,3759481803.0,3759481808.31,port_timestamp,1.51199996471,7.2376999855,27.6633306462,1021.62596099,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
13,3759492608.63,9,2.89642000198,empty,empty,3759505128.91,3759505128.93,3759492603.0,3759492608.63,port_timestamp,1.52400004864,7.40700006485,27.799023354,1021.71145446,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
14,3759503407.91,9,2.90709996223,empty,empty,3759505128.91,3759505128.93,3759503403.0,3759503407.91,port_timestamp,1.52499997616,7.64270019531,27.7234378772,1021.62211487,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
15,3759514207.91,9,2.88784003258,empty,empty,3759528251.57,3759528251.59,3759514203.0,3759514207.91,port_timestamp,1.5379999876,7.78200006485,27.4112339672,1021.35928053,29,13,29,13,29,13,29,13,29,13,47.13475,-124.27115
