obs,time,deployment,conductivity,date_time_string,dcl_controller_timestamp,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,temp,practical_salinity,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
0,3759870605.48,9,3.41841006279,empty,empty,3759872713.56,3759872714.94,3759870606.0,3759870605.48,port_timestamp,30.0939998627,10.3725996017,30.7032975433,1023.67916815,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
1,3759877808.44,9,3.42095994949,empty,empty,3759916867.38,3759916867.42,3759877808.0,3759877808.44,port_timestamp,28.9340000153,10.3945999146,30.7106009952,1023.67595394,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
2,3759885006.61,9,3.42477989197,empty,empty,3759916867.38,3759916867.42,3759885006.0,3759885006.61,port_timestamp,27.8920001984,10.4287004471,30.7202761876,1023.67310372,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
3,3759892205.3,9,3.42586994171,empty,empty,3759916867.38,3759916867.42,3759892206.0,3759892205.3,port_timestamp,28.6380004883,10.432299614,30.7277766668,1023.68171905,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
4,3759899404.4,9,3.42124009132,empty,empty,3759916867.38,3759916867.43,3759899405.0,3759899404.4,port_timestamp,30.1259994507,10.3676996231,30.7356201739,1023.70530131,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
5,3759906604.39,9,3.42484998703,empty,empty,3759916867.38,3759916867.43,3759906605.0,3759906604.39,port_timestamp,31.1550006866,10.3935003281,30.7493574872,1023.71639165,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
6,3759913807.07,9,3.43096995354,empty,empty,3759916867.38,3759916867.43,3759913808.0,3759913807.07,port_timestamp,30.9150009155,10.4291000366,30.7802948541,1023.73346708,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
7,3759921007.01,9,3.43813991547,empty,empty,3759958834.88,3759958834.89,3759921008.0,3759921007.01,port_timestamp,29.1779994965,10.470199585,30.8175814454,1023.74776675,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
8,3759928208.19,9,3.44264006615,empty,empty,3759958834.88,3759958834.89,3759928209.0,3759928208.19,port_timestamp,27.7210006714,10.4783000946,30.8560699895,1023.76979474,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
9,3759935406.99,9,3.44596004486,empty,empty,3759958834.88,3759958834.89,3759935408.0,3759935406.99,port_timestamp,28.8339996338,10.4771003723,30.889648308,1023.8011733,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
10,3759942607.25,9,3.44917988777,empty,empty,3759958834.88,3759958834.89,3759942608.0,3759942607.25,port_timestamp,29.6149997711,10.4806003571,30.9183795927,1023.82648957,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
11,3759949805.98,9,3.45201992989,empty,empty,3759958834.88,3759958834.9,3759949807.0,3759949805.98,port_timestamp,30.8260002136,10.486000061,30.9415437916,1023.84911342,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
12,3759957007.46,9,3.45509004593,empty,empty,3759958840.28,3759958842.62,3759957008.0,3759957007.46,port_timestamp,30.2980003357,10.5012998581,30.9592972938,1023.8579725,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
13,3759964206.36,9,3.45879006386,empty,empty,3760044968.67,3760044968.69,3759964207.0,3759964206.36,port_timestamp,30.1329994202,10.5137996674,30.9855319034,1023.87555071,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
14,3759971407.31,9,3.45921993256,empty,empty,3760044968.67,3760044968.69,3759971408.0,3759971407.31,port_timestamp,28.2159996033,10.4896001816,31.0111787779,1023.89091769,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
15,3759978607.91,9,3.45634007454,empty,empty,3760044968.67,3760044968.69,3759978609.0,3759978607.91,port_timestamp,28.2779998779,10.4347000122,31.0292362014,1023.91445707,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
16,3759985805.56,9,3.45940995216,empty,empty,3760044968.67,3760044968.69,3759985806.0,3759985805.56,port_timestamp,29.3969993591,10.453499794,31.0433278431,1023.92734235,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
17,3759993006.4,9,3.45826005936,empty,empty,3760044968.67,3760044968.69,3759993007.0,3759993006.4,port_timestamp,30.7329998016,10.4329004288,31.0488820604,1023.94117123,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
18,3760000206.82,9,3.45774006844,empty,empty,3760044968.67,3760044968.69,3760000208.0,3760000206.82,port_timestamp,30.3829994202,10.4230003357,31.0522899546,1023.94389162,29,29,29,29,29,29,29,21,29,21,47.13475,-124.27115
